region,Jan,Feb,March,April,May ,June,July,Aug,Sept,Oct,Nov,Dec
Canada,,,,40,40,40,,60,60,60,,
U.S.,,,,3582,3582,3582,,5373,5373,5373,,
All,,,,3622,3622,3622,,5433,5433,5433,,
