region,Jan,Feb,March,April,May ,June,July,Aug,Sept,Oct,Nov,Dec,
All-wide,0,0,0,0,"59,269","2,371","7,009","25,893","25,893","15,651","8,631",863,
All-narrow,0,0,0,0,"8,761","2,118","6,171","22,450","22,450","13,413","7,483",748,
